W0,,,,
-1.847,,,,
W1,W2,W3,W4,W5
0.691,-1.098,0.263,-1.921,-0.493
W6,W7,W8,W9,W10
2.809,1.33,1.218,-0.601,-1.157
W11,W12,W13,W14,W15
-2.798,0.035,2.812,2.507,0.483
W16,W17,W18,W19,W20
0.296,-1.693,-0.836,-1.35,-2.554
W21,W22,W23,W24,W25
2.295,-1.188,0.167,-0.256,0.3
W26,W27,W28,W29,W30
3.064,-0.896,-1.286,1.316,0.318
