w0,,,,
0.605,,,,
w1,w2,w3,w4,w5
1.083,-1.957,-0.836,1.744,-1.29
w6,w7,w8,w9,w10
-2.563,-0.345,-0.894,-2.162,0.058
w11,w12,w13,w14,w15
0.068,1.047,3.455,1.113,1.812
w16,w17,w18,w19,w20
-2.484,1.291,2.234,2.871,-0.661
w21,w22,w23,w24,w25
-0.661,0.601,1.582,2.319,-0.881
w26,w27,w28,w29,w30
1.969,-1.088,-0.072,-0.644,3.647
